16679,2,7,"0.2","PR",3001,"BB",,,"SASTOJI OD DVIJE PROSTORIJE OD DVORI[TA TERASE I P",704091,45250,"20",,
16680,1,7,,"PR",3001,"BB",,,,704091,45250,"58",,
16681,2,2,,"PR",3992,"BB",,25.00,,704091,45250,"58",,
16684,1,7,"0.2","PR",3001,"BB",,,"SA PODRUMOM ISPOD SOBE I KUHIWOM ",704091,45741,"17",,
16688,1,2,,"PR",3992,"BB",,62.00,,704091,45304,,,
16689,1,2,"2.0","PR",3001,"1",,45.03,"NI@I DEO U PRVOM ULAZU",704091,45296,"30",,
16690,2,2,"0.9","PR",3001,"2",,20.87,"PRVI ULAZ NI@I DEO",704091,45296,"30",,
16691,3,2,"2.0","PR",3001,"3",,52.50,"PRVI ULAZ-VI[I DEO",704091,45296,"30",,
16692,4,2,"2.0","PR",3001,"4",,52.50,"PRVI ULAZ, VI[I DEO",704091,45296,"30",,
16693,5,2,"2.0","ME",3001,"5",,53.93,"PRVI ULAZ",704091,45296,"30",,
16694,6,2,"0.9","ME",3001,"6",,52.50,"PRVI ULAZ",704091,45296,"30",,
16695,7,2,"2.0","01",3001,"7",,52.60,"PRVI ULAZ",704091,45296,"30",,
16696,8,2,"2.0","01",3001,"8",,52.60,"PRVI ULAZ",704091,45296,"30",,
16697,9,2,"2.0","01",3001,"9",,53.39,"PRVI ULAZ, VI[I DEO",704091,45296,"30",,
16698,10,2,"0.9","01",3001,"10",,20.86,"PRVI ULAZ,PRVI SPRAT,VI[I DEO",704091,45296,"30",,
16699,11,2,"2.0","02",3001,"11",,52.60,"PRVI ULAZ",704091,45296,"30",,
16701,12,2,"2.0","02",3001,"12",,52.60,"PRVI ULAZ",704091,45296,"30",,
16702,13,2,"2.0","PR",3001,"1",,45.03,"DRUGI ULAZ",704091,45296,"30",,
16703,1,7,,"PR",3992,"1",,,,704091,45250,"29","A",
16704,2,7,,"PR",3992,"2",,,,704091,45250,"29","A",
16705,3,2,"2.0","PR",3001,"1",,58.05,"SA PODRUMA",704091,45250,"29","A",
16706,4,2,"1.0","PR",3001,"2",,39.74,"SA PODRUMOM",704091,45250,"29","A",
16707,5,2,"1.0","PR",3001,"3",,35.10,"SA PODRUMOM",704091,45250,"29","A",
16708,6,2,"2.0","PR",3001,"4",,48.95,"SA PODRUMOM",704091,45250,"29","A",
16709,7,7,"2.0","PR",3001,"5",,,,704091,45250,"29","A",
16710,8,2,"1.0","01",3001,"6",,35.10,"SA PODRUMOM",704091,45250,"29","A",
16711,14,2,"0.9","PR",3001,"2",,20.87,"DRUGI ULAZ",704091,45296,"30",,
16712,9,2,"1.0","01",3001,"7",,39.74,"SA PODRUMOM",704091,45250,"29","A",
16713,10,2,"1.0","01",3001,"8",,39.74,"SA PODRUMOM",704091,45250,"29","A",
16714,15,2,"2.0","PR",3001,"3",,52.50,"DRUGI ULAZ, PRIZEMQE VI[I DEO",704091,45296,"30",,
16715,11,2,"1.0","01",3001,"9",,35.10,"SA PODRUMOM",704091,45250,"29","A",
16716,16,2,"2.0","PR",3001,"4",,53.39,"DRUGI ULAZ,PRIZEMQE VI[I DEO",704091,45296,"30",,
16717,17,2,"2.0","ME",3001,"5",,53.39,"DRUGI ULAZ",704091,45296,"30",,
16718,12,2,"2.0","02",3001,"10",,48.95,"SA PODRUMA",704091,45250,"29","A",
16719,18,2,"0.9","ME",3001,"6",,20.86,"DRUGI ULAZ",704091,45296,"30",,
16720,13,2,"2.0","02",3001,"11",,48.95,"SA PODRUMA",704091,45250,"29","A",
16721,19,2,"2.0","01",3001,"7",,52.60,"DRUGI ULAZ",704091,45296,"30",,
16722,20,2,"2.0","01",3001,"8",,53.00,"DRUGI ULAZ",704091,45296,"30",,
16723,14,2,"1.0","03",3001,"12",,35.10,"SA PODRUMA",704091,45250,"29","A",
16724,21,2,"2.0","01",3001,"9",,53.39,"DRUGI ULAZ,PRVI SPRAT-VI[I DEO",704091,45296,"30",,
16725,22,2,"0.9","01",3001,"10",,20.86,"DRUGI ULAZ,PRVI SPRAT-VI[I DEO",704091,45296,"30",,
16726,15,2,"1.0","03",3001,"13",,40.00,"SA PODRUMA",704091,45250,"29","A",
16727,16,2,"1.0","03",3001,"14",,40.00,"SA PODRUMOM",704091,45250,"29","A",
16728,17,2,"1.0","03",3001,"15",,35.10,"SA PODRUMOM",704091,45250,"29","A",
16729,23,2,"2.0","02",3001,"11",,52.60,"DRUGI ULAZ ",704091,45296,"30",,
