704091,45631,,,23103,6,544,,,,,0,,625.00,,,
704091,45631,,,10014,6,547,,1,,,0,,886.00,,,
704091,45631,,,19930,5,549,,,,,0,,5.00,,,
704091,45631,"29","A",19930,5,556,,,,,0,,30.00,,,
704091,45631,,,19930,5,558,,,,,0,,80.00,,,
704091,45631,,,19920,6,562,,1,,,0,"-MAGACIN",222.00,,,
704091,45631,,,19920,6,568,,1,,,0,"SKLADI[TE SA IZLO@BENIM SALONOM",338.00,,,
704091,45631,,,19920,5,570,,1,,,0,,8.00,,,
704091,45631,,,19920,2,572,,1,,,0,,30.00,,,
704091,45631,,,19920,2,574,,1,,,0,,122.00,,,
704091,45631,,,19920,2,576,,1,,,0,,189.00,,,
704091,45631,"48",,10014,6,581,,,,,0,,90.00,,,
704091,45631,,,10014,5,585,,,,,0,,36.00,,,
704091,45631,,,19930,5,587,,,,,0,,4.00,,,
704091,45631,"46","A",10030,2,594,,1,1,,0,,153.00,,,
704091,45631,,,10059,5,597,,1,,,0,,7.00,,,
704091,45631,,,10050,6,611,,,,,0,,29.00,,,
704091,45631,,,11720,2,616,,1,1,,0,"fABRIKA SOKOVA",483.00,,,
704091,45631,"40",,10014,6,626,,,,,0,,180.00,,,
704091,45631,,,19930,5,629,,,,,0,,50.00,,,
704091,45631,,,10050,6,633,,1,,,0,,60.00,,,
704091,45631,,,10014,6,635,,1,,,0,,31.00,,,
704091,45631,"38",,10014,6,640,,,,,0,,75.00,,,
704091,45631,,,19930,5,642,,,,,0,,12.00,,,
704091,45631,,,19930,5,644,,,,,0,,3.00,,,
704091,45631,,,10014,6,649,,1,,,0,,22.00,,,
704091,45631,"34",,23400,6,660,,1,,,0,"SALON NAMJE[TAJA",300.00,,,
704091,45631,"34","A",10030,6,666,,1,,,0,,70.00,,,
704091,45631,"32",,10014,6,690,,1,,,0,,96.00,,,
704091,45631,"30",,10014,6,694,,1,,,0,,101.00,,,
704091,45631,,,19930,5,696,,,,,0,,21.00,,,
704091,45631,"28",,10030,2,702,,,,,0,,99.00,,,
704091,45631,"26",,10014,6,706,,1,,,0,,87.00,,,
704091,45631,,,19930,5,708,,,,,0,,22.00,,,
704091,45631,"24",,10030,2,714,,1,1,1,0,,195.00,,,
704091,45631,,,19930,5,719,,1,,,0,,9.00,,,
704091,45631,,,19930,5,730,,,,,0,,22.00,,,
704091,45631,"22",,10014,6,732,,1,,,0,,48.00,,,
704091,45631,"20",,10014,6,735,,,,,0,,48.00,,,
704091,45631,,,19930,5,737,,,,,0,,38.00,,,
704091,45631,"18",,10014,6,742,,1,,,0,,35.00,,,
704091,45631,"16",,10014,6,748,,1,,,0,,81.00,,,
